FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
351c565d-9d66-3c4e-e297-febc5c0230dc	ea09cb17-ee6f-d979-8f5c-344c2dc37d49	cumberland-tn-bulldogs	CUMB	ffffff	NULL
8ed72595-6006-4a8a-0232-aaf4bd8b518f	94fe155c-08e5-a075-bd32-2ad556277186	curry-college-colonels	CUR	65448b	ffffff
60b3e532-121b-7d18-7048-bbe66bba2434	0b23d725-3d0a-e1ab-81eb-a08b28b3d02a	dakota-state-university-trojans	DAKOT	000000	NULL
415c6f1a-3340-e7a2-a24b-826a660c30e5	e6f5ec27-b2d8-3ea3-0ed3-c60336d5a1c5	dakota-wesleyan-tigers	DWU	ffffff	NULL
1849e54e-bb49-3a8f-84d9-63b9f8c67f0f	39470d74-99e5-8db7-1ce0-2a9840f1208c	dartmouth-big-green	DART	005730	000000
f494c997-9c3c-21a2-cbdc-5c434e0d2a87	52038d55-3710-a281-b182-e6faf00e129e	davenport-panthers	DAV	ffffff	NULL
5305565d-86d3-80ef-d38e-96d0c8417627	47d97be9-94ea-8482-9ac7-7dc6bd2461ca	davidson-wildcats	DAV	000000	e51837
0813ba6c-45d0-a5f4-c878-1e36cde519ca	d6e11ef6-1287-fb67-d83b-ac95fa4c3ebd	dayton-flyers	DAY	004B8D	ffffff
94577e43-0a37-bca4-234a-544065535448	246a9b37-28de-0a67-2ecd-2b7471e89ca7	delaware-blue-hens	DEL	033594	e8ce31
617247e5-4b5d-dedd-77cd-7c3b0050530f	a7d66eb2-3513-62a7-6998-53d58378d6fa	delaware-state-hornets	DSU	FF3630	009cdd
736d162a-bbd7-27c8-c5e4-31a9414d1483	aad9f267-8354-8e88-e6d8-70d4492b040e	delaware-valley-aggies	DEL	004c23	e6b71b
a6824a0e-b88a-ef9c-2d9b-52cef7875f8f	6f3aea2e-7958-7c96-3ad4-ea584e109f77	delta-state-statesmen	DELT	00753e	000000
921f0b92-cf29-c5d0-2c84-c2e4cbd7cdc4	0de9589d-2d76-d539-6400-7eba935640d4	depauw-tigers	DEP	000000	NULL
58ee95d8-90dd-d325-26c8-41b61e62dae2	7a7a6859-d640-5f01-d041-e07ba78d7d75	dickinson-pa-red-devils	DCK	ed192d	000000
1c10af98-bbb3-268b-fdbe-b9feffd9cb38	bff725ee-b68d-4c9f-1663-fa89bca274e3	drake-bulldogs	DRKE	005596	bec0c2
a5646b1b-589c-5f73-b467-5714b1460b41	1c80e1ff-7c13-90b5-e863-d9f3cc79ed50	dubuque-spartans	DUB	000000	NULL
6a63c7d4-dbe4-32e6-fe59-9c04911c4ad1	27dfe058-50c2-ef48-569a-a70acd95a7aa	duke-blue-devils	DUKE	013088	ffffff
34ed1f1d-56c2-14c8-80ab-6e70bf319e89	f84c9d4a-ac9c-ad83-878f-545842479047	duquesne-dukes	DUQ	002D62	b90b2e
785bb9f3-dac0-e2da-cdf2-1d1b89df76aa	2f37d4bd-db84-c242-d9f4-04d5e0cb9669	east-all-stars	EAST	000000	NULL
6228c98a-84f6-2fd2-9343-9318cf04fc01	cdf0c392-1706-280e-c50a-6cd493074b66	east-carolina-pirates	ECU	4b1869	f0907b
03c38274-61f7-f59a-94df-3f81fc4e03bf	e310499c-80b5-4837-fdbc-b98b527d2f05	east-central-ok-tigers	EAS	000000	NULL
3ea3d83e-ebd6-7487-b8ce-d3c75f32c8a5	2edba3dc-263f-ecc3-9f46-2ac4217d31fe	eastern-illinois-panthers	EIU	000000	bebab9
68eed6ac-1d0f-5bf2-18fc-064bdb158293	ff26588f-5616-e4fc-0bd9-93e9540ad737	eastern-kentucky-colonels	EKU	660819	f0f0f0
